schools,year,hhabit,parksd,medu,girl,sports,bmi,chrt
17,2032,No,6,9,No,No,33.64592,0
28,2039,No,3,9,Yes,No,26.102859,0
25,2038,No,5,7,No,Yes,27.544704,0
6,2037,No,6,9,No,No,28.885677,0
3,2036,Yes,5,14,No,Yes,15.535974,2034
40,2033,No,4,9,Yes,Yes,21.6852,2036
39,2040,Yes,6,12,Yes,Yes,16.431763,2036
11,2033,No,7,13,No,Yes,24.080015,0
18,2037,No,5,11,Yes,Yes,22.730951,0
1,2037,Yes,6,9,No,Yes,16.009743,2034
33,2032,No,3,11,No,Yes,25.619833,2038
12,2034,No,5,9,Yes,Yes,22.982321,0
3,2033,No,5,11,No,Yes,26.547377,2034
32,2038,Yes,3,9,No,No,23.502724,2038
13,2032,No,3,13,No,No,34.764557,0
6,2037,No,6,10,Yes,No,32.968891,0
21,2034,No,4,7,No,Yes,21.135523,0
20,2034,No,4,9,Yes,No,32.991432,0
26,2038,No,4,12,Yes,Yes,18.410007,0
9,2039,No,3,9,No,Yes,18.761711,0
1,2037,Yes,6,7,No,No,23.562981,2034
8,2037,No,4,9,Yes,No,21.46402,0
39,2032,No,6,7,Yes,No,34.293144,2036
24,2032,No,5,10,No,Yes,35.481995,0
15,2034,No,5,9,Yes,No,30.972813,0
15,2040,No,5,10,No,No,29.404097,0
25,2034,No,5,9,Yes,Yes,30.091591,0
5,2032,No,4,9,Yes,Yes,30.466116,0
40,2032,No,4,11,No,No,19.087713,2036
2,2036,Yes,6,10,Yes,No,30.188309,2034
17,2032,No,6,9,Yes,Yes,33.901714,0
21,2035,No,4,12,No,Yes,26.912508,0
13,2037,No,3,9,Yes,Yes,18.26442,0
13,2036,No,3,9,Yes,Yes,24.125267,0
20,2035,No,4,10,No,Yes,23.556013,0
18,2033,No,5,7,No,No,19.904669,0
19,2038,No,5,9,No,Yes,20.941933,0
25,2034,No,5,9,No,Yes,23.005919,0
22,2036,No,5,8,No,No,24.442339,0
13,2036,No,3,10,No,No,20.022863,0
5,2037,No,4,19,No,Yes,25.400461,0
24,2032,No,5,9,No,Yes,23.262775,0
24,2035,No,5,11,No,No,19.416758,0
2,2032,No,6,0,Yes,Yes,30.519396,2034
5,2032,No,4,8,No,Yes,23.009396,0
11,2035,No,7,14,Yes,Yes,24.393572,0
34,2032,No,3,9,Yes,No,25.477247,2038
25,2033,No,5,8,No,Yes,29.738417,0
19,2039,No,5,18,Yes,No,18.732103,0
17,2035,No,6,12,Yes,Yes,17.953686,0
14,2038,No,5,10,Yes,Yes,18.202717,0
35,2034,No,3,7,No,Yes,25.455992,2038
32,2039,Yes,3,12,No,Yes,17.656343,2038
34,2037,No,3,10,Yes,Yes,30.326561,2038
28,2035,No,3,9,Yes,Yes,18.836935,0
40,2036,Yes,4,9,Yes,No,25.529713,2036
7,2035,No,5,13,Yes,No,22.124483,0
28,2032,No,3,12,No,Yes,18.662323,0
39,2037,Yes,6,11,Yes,No,16.988848,2036
40,2033,No,4,9,No,Yes,31.279932,2036
30,2038,No,6,9,Yes,No,33.992672,0
20,2033,No,4,11,No,Yes,28.688671,0
2,2035,Yes,6,9,No,Yes,25.684689,2034
26,2033,No,4,11,No,No,28.939009,0
20,2032,No,4,11,No,No,30.034832,0
21,2039,No,4,9,Yes,No,32.684532,0
3,2037,Yes,5,9,Yes,Yes,22.076084,2034
19,2037,No,5,10,No,No,29.474012,0
26,2035,No,4,9,No,Yes,28.077894,0
1,2032,No,6,9,No,No,20.453264,2034
6,2034,No,6,9,Yes,Yes,29.557962,0
40,2034,No,4,9,No,Yes,17.138798,2036
32,2032,No,3,17,Yes,Yes,18.675373,2038
29,2037,No,3,9,Yes,Yes,17.246368,0
1,2038,Yes,6,9,No,Yes,28.110035,2034
10,2036,No,6,9,Yes,Yes,18.879801,0
40,2033,No,4,10,Yes,Yes,33.426422,2036
23,2037,No,2,9,No,Yes,23.252405,0
11,2037,No,7,9,Yes,Yes,34.723183,0
10,2034,No,6,8,Yes,No,30.133354,0
36,2034,No,3,8,Yes,No,32.641998,2036
12,2032,No,5,11,Yes,Yes,27.017843,0
33,2036,No,3,17,Yes,No,33.642712,2038
32,2040,Yes,3,10,No,Yes,24.645241,2038
11,2032,No,7,8,No,No,25.240887,0
13,2032,No,3,9,No,Yes,27.648203,0
15,2032,No,5,10,Yes,Yes,18.852123,0
2,2033,No,6,12,No,Yes,32.908752,2034
28,2032,No,3,8,No,Yes,22.514071,0
9,2038,No,3,9,Yes,Yes,34.075783,0
26,2039,No,4,9,Yes,Yes,22.452612,0
10,2038,No,6,9,Yes,No,26.069969,0
20,2037,No,4,9,No,Yes,25.609552,0
14,2032,No,5,12,Yes,No,18.163363,0
31,2038,Yes,3,10,No,Yes,25.03298,2038
33,2032,No,3,8,Yes,Yes,28.49789,2038
6,2038,No,6,9,No,Yes,26.800262,0
20,2032,No,4,9,Yes,Yes,23.271879,0
19,2034,No,5,9,Yes,Yes,28.07748,0
10,2035,No,6,9,No,Yes,22.825956,0
14,2040,No,5,9,No,Yes,24.886127,0
26,2040,No,4,9,No,Yes,16.824509,0
6,2040,No,6,8,Yes,Yes,22.990376,0
2,2037,Yes,6,9,Yes,Yes,22.002039,2034
6,2038,No,6,14,No,Yes,27.079357,0
4,2033,No,5,8,No,Yes,26.503904,0
25,2032,No,5,9,Yes,Yes,28.708195,0
39,2040,Yes,6,9,Yes,Yes,25.95591,2036
25,2039,No,5,10,No,No,31.407358,0
19,2032,No,5,9,No,No,21.318441,0
8,2032,No,4,9,Yes,Yes,19.96884,0
38,2036,Yes,7,10,No,No,16.794426,2036
10,2035,No,6,9,No,No,17.22086,0
2,2040,Yes,6,12,Yes,No,27.060951,2034
27,2032,No,6,9,Yes,No,31.187683,0
29,2037,No,3,9,Yes,No,29.873695,0
29,2032,No,3,11,No,Yes,20.752399,0
9,2040,No,3,8,No,Yes,32.310921,0
25,2037,No,5,9,Yes,No,21.170412,0
33,2034,No,3,9,Yes,Yes,29.869432,2038
13,2033,No,3,9,No,No,27.276613,0
31,2039,Yes,3,9,No,Yes,27.40626,2038
8,2034,No,4,9,No,Yes,23.057495,0
30,2037,No,6,17,Yes,Yes,25.073463,0
1,2035,Yes,6,9,No,Yes,22.712902,2034
15,2039,No,5,10,Yes,No,23.761532,0
24,2033,No,5,9,No,No,29.800327,0
30,2036,No,6,9,No,No,28.346266,0
38,2038,Yes,7,0,No,Yes,32.706005,2036
9,2032,No,3,9,Yes,No,24.168432,0
8,2033,No,4,8,Yes,Yes,26.172058,0
21,2038,No,4,7,No,No,20.960514,0
31,2034,No,3,12,No,Yes,26.077,2038
36,2039,Yes,3,10,No,No,33.766014,2036
19,2034,No,5,11,No,No,24.988449,0
25,2032,No,5,11,Yes,Yes,30.379875,0
10,2032,No,6,10,No,Yes,22.818617,0
16,2034,No,3,7,Yes,No,31.548092,0
12,2033,No,5,9,No,Yes,20.561729,0
30,2038,No,6,15,No,No,32.869076,0
9,2033,No,3,9,No,Yes,25.066404,0
12,2039,No,5,9,Yes,No,23.111725,0
6,2032,No,6,9,No,No,22.176332,0
32,2036,No,3,0,Yes,Yes,20.286648,2038
28,2039,No,3,9,Yes,No,33.444633,0
26,2040,No,4,9,No,Yes,24.24037,0
8,2040,No,4,11,No,Yes,19.301844,0
31,2032,No,3,9,Yes,No,31.213324,2038
15,2034,No,5,12,No,No,26.410379,0
11,2032,No,7,14,Yes,Yes,31.345137,0
21,2032,No,4,10,No,No,23.404638,0
33,2034,No,3,10,No,No,25.57091,2038
25,2033,No,5,10,Yes,Yes,25.610394,0
33,2032,No,3,9,Yes,Yes,25.2078,2038
5,2038,No,4,9,No,No,28.819523,0
13,2037,No,3,9,Yes,Yes,26.416908,0
25,2037,No,5,10,No,Yes,22.860262,0
27,2035,No,6,9,Yes,Yes,16.084549,0
8,2036,No,4,7,Yes,Yes,28.682468,0
9,2038,No,3,13,Yes,Yes,22.773123,0
26,2039,No,4,8,Yes,Yes,28.297199,0
34,2036,No,3,9,No,Yes,24.962736,2038
16,2032,No,3,11,Yes,Yes,26.438011,0
39,2037,Yes,6,9,Yes,Yes,25.813133,2036
1,2036,Yes,6,9,Yes,Yes,20.540251,2034
15,2035,No,5,13,Yes,Yes,33.539043,0
6,2039,No,6,13,Yes,Yes,28.120562,0
3,2039,Yes,5,10,No,Yes,22.926504,2034
22,2035,No,5,10,Yes,No,27.113588,0
8,2033,No,4,13,Yes,Yes,26.278599,0
16,2034,No,3,9,Yes,Yes,31.833673,0
32,2034,No,3,9,Yes,Yes,30.045233,2038
29,2036,No,3,10,Yes,Yes,30.240608,0
3,2040,Yes,5,9,No,Yes,25.123476,2034
32,2038,Yes,3,9,No,Yes,26.416962,2038
26,2036,No,4,11,No,Yes,24.119316,0
24,2035,No,5,9,Yes,Yes,19.388523,0
3,2039,Yes,5,9,No,Yes,26.314909,2034
21,2034,No,4,18,No,Yes,29.17527,0
19,2034,No,5,9,No,No,28.132429,0
39,2037,Yes,6,9,Yes,Yes,27.285673,2036
13,2034,No,3,18,No,No,29.513575,0
35,2035,No,3,10,Yes,Yes,28.748791,2038
38,2037,Yes,7,9,Yes,Yes,28.196911,2036
9,2040,No,3,8,Yes,Yes,21.958353,0
6,2040,No,6,14,No,Yes,34.429722,0
37,2037,Yes,6,8,No,Yes,29.271999,2036
16,2032,No,3,9,No,No,25.595432,0
6,2038,No,6,9,No,Yes,29.671467,0
5,2037,No,4,9,Yes,Yes,25.678484,0
15,2033,No,5,9,No,Yes,29.502022,0
22,2034,No,5,9,No,Yes,26.175627,0
21,2036,No,4,12,No,Yes,27.929214,0
29,2033,No,3,9,Yes,No,29.775217,0
28,2035,No,3,9,No,Yes,20.464602,0
21,2032,No,4,10,No,No,31.480103,0
27,2036,No,6,9,Yes,No,27.81555,0
39,2035,No,6,8,Yes,Yes,20.736181,2036
28,2038,No,3,10,Yes,No,30.500166,0
3,2033,No,5,9,Yes,Yes,20.141153,2034
20,2032,No,4,0,Yes,Yes,28.743097,0
40,2036,Yes,4,9,Yes,Yes,22.343651,2036
35,2040,Yes,3,9,No,Yes,28.411179,2038
38,2040,Yes,7,9,Yes,Yes,30.279955,2036
22,2035,No,5,19,No,No,31.585213,0
26,2036,No,4,19,Yes,No,31.811943,0
35,2032,No,3,12,No,Yes,29.916687,2038
38,2038,Yes,7,16,No,Yes,21.884996,2036
3,2033,No,5,10,No,Yes,24.440851,2034
17,2035,No,6,9,No,Yes,23.696056,0
40,2037,Yes,4,8,No,No,17.707483,2036
14,2038,No,5,9,No,No,28.399414,0
29,2036,No,3,7,No,Yes,32.519375,0
3,2037,Yes,5,9,No,Yes,28.964668,2034
5,2033,No,4,9,Yes,Yes,31.235987,0
30,2038,No,6,15,Yes,Yes,19.970314,0
16,2033,No,3,10,Yes,Yes,30.43071,0
30,2035,No,6,9,Yes,Yes,19.523296,0
21,2034,No,4,9,Yes,Yes,20.162302,0
12,2035,No,5,8,No,No,24.5732,0
33,2040,Yes,3,13,No,No,28.903088,2038
34,2034,No,3,13,No,No,24.949081,2038
7,2036,No,5,9,Yes,No,23.876251,0
4,2036,No,5,9,Yes,No,29.042616,0
13,2036,No,3,9,No,Yes,25.151953,0
11,2032,No,7,10,Yes,Yes,31.447384,0
39,2034,No,6,8,No,Yes,13.69959,2036
34,2037,No,3,7,Yes,No,33.459545,2038
22,2034,No,5,11,Yes,Yes,21.927626,0
40,2040,Yes,4,10,Yes,Yes,23.91127,2036
1,2037,Yes,6,14,Yes,No,16.388487,2034
2,2038,Yes,6,9,No,Yes,20.745974,2034
5,2039,No,4,13,No,Yes,18.142492,0
22,2034,No,5,8,No,Yes,25.117393,0
12,2035,No,5,13,No,No,18.220573,0
6,2033,No,6,10,No,No,18.056339,0
27,2035,No,6,8,Yes,Yes,24.872187,0
20,2035,No,4,13,No,No,33.290852,0
32,2036,No,3,9,Yes,Yes,30.532558,2038
17,2034,No,6,9,Yes,No,27.001585,0
38,2039,Yes,7,9,Yes,Yes,26.710478,2036
11,2037,No,7,9,No,Yes,32.117878,0
36,2039,Yes,3,12,Yes,No,33.707237,2036
19,2039,No,5,10,Yes,Yes,29.684788,0
18,2040,No,5,10,Yes,Yes,34.736385,0
20,2037,No,4,9,Yes,No,23.359753,0
36,2039,Yes,3,11,No,Yes,26.581539,2036
11,2040,No,7,9,No,Yes,20.732676,0
5,2034,No,4,9,No,Yes,27.70186,0
31,2037,No,3,9,Yes,Yes,20.493319,2038
1,2035,Yes,6,9,Yes,Yes,25.220282,2034
16,2033,No,3,13,Yes,Yes,31.916687,0
4,2038,No,5,9,Yes,Yes,21.171644,0
37,2036,Yes,6,12,No,Yes,22.310667,2036
11,2033,No,7,10,No,No,27.973185,0
3,2034,Yes,5,9,Yes,Yes,24.199739,2034
35,2040,Yes,3,7,No,Yes,24.580957,2038
5,2036,No,4,9,No,Yes,26.671059,0
34,2033,No,3,13,Yes,No,24.822372,2038
38,2034,No,7,9,No,Yes,28.945551,2036
20,2034,No,4,9,No,Yes,24.263546,0
19,2039,No,5,9,No,No,27.193079,0
8,2035,No,4,0,No,Yes,24.394745,0
39,2036,Yes,6,11,No,Yes,14.810237,2036
35,2036,No,3,9,Yes,Yes,31.969967,2038
25,2033,No,5,10,No,No,18.068531,0
3,2039,Yes,5,10,Yes,No,33.289684,2034
29,2037,No,3,9,No,Yes,27.386553,0
32,2039,Yes,3,10,No,Yes,28.713442,2038
32,2040,Yes,3,13,Yes,Yes,20.332148,2038
18,2037,No,5,9,No,Yes,26.916653,0
20,2036,No,4,9,Yes,No,24.542212,0
15,2037,No,5,9,No,No,19.510857,0
29,2034,No,3,8,Yes,No,27.369623,0
22,2040,No,5,9,No,Yes,25.879345,0
7,2032,No,5,9,No,Yes,31.643387,0
7,2034,No,5,10,No,Yes,21.897095,0
38,2039,Yes,7,8,No,Yes,18.182714,2036
23,2034,No,2,9,No,Yes,31.587151,0
2,2036,Yes,6,10,No,Yes,15.424506,2034
40,2036,Yes,4,10,Yes,Yes,27.417633,2036
12,2033,No,5,9,Yes,No,32.632458,0
18,2035,No,5,13,No,Yes,13.969077,0
8,2032,No,4,9,Yes,Yes,29.135073,0
2,2034,Yes,6,9,No,No,30.935781,2034
34,2040,Yes,3,12,Yes,No,25.783607,2038
11,2037,No,7,10,Yes,No,32.145264,0
29,2033,No,3,8,Yes,Yes,33.487934,0
27,2038,No,6,9,Yes,Yes,28.10766,0
29,2032,No,3,12,Yes,No,26.573059,0
10,2036,No,6,12,No,No,30.415083,0
32,2036,No,3,9,Yes,Yes,20.607061,2038
12,2033,No,5,9,No,Yes,24.181459,0
25,2035,No,5,11,No,No,21.096725,0
39,2034,No,6,11,Yes,Yes,27.877968,2036
19,2036,No,5,15,Yes,Yes,24.614809,0
24,2038,No,5,8,No,Yes,34.13784,0
15,2035,No,5,18,No,Yes,25.71376,0
9,2033,No,3,13,Yes,Yes,21.280205,0
33,2035,No,3,8,No,Yes,32.569118,2038
2,2034,Yes,6,10,No,Yes,28.850651,2034
32,2034,No,3,9,No,Yes,26.004717,2038
18,2034,No,5,9,Yes,Yes,31.803545,0
2,2032,No,6,9,Yes,No,23.630772,2034
21,2034,No,4,10,Yes,No,31.073456,0
26,2033,No,4,19,Yes,No,25.961742,0
36,2032,No,3,12,Yes,Yes,36.139229,2036
38,2038,Yes,7,9,Yes,No,18.665224,2036
19,2035,No,5,0,Yes,Yes,21.568945,0
3,2038,Yes,5,8,No,No,23.906612,2034
2,2036,Yes,6,9,Yes,Yes,23.115099,2034
21,2033,No,4,9,Yes,No,27.008747,0
22,2032,No,5,13,No,Yes,24.140774,0
34,2034,No,3,9,Yes,Yes,33.163166,2038
1,2036,Yes,6,9,Yes,Yes,28.873993,2034
14,2032,No,5,9,No,Yes,31.962069,0
34,2040,Yes,3,9,Yes,No,21.143702,2038
17,2039,No,6,9,Yes,Yes,23.880079,0
13,2039,No,3,11,Yes,Yes,24.045656,0
26,2033,No,4,8,No,Yes,16.42668,0
21,2035,No,4,9,No,No,33.96806,0
18,2033,No,5,9,Yes,No,21.55884,0
30,2032,No,6,11,Yes,No,26.592134,0
21,2039,No,4,11,No,Yes,24.851601,0
40,2037,Yes,4,9,Yes,No,28.451439,2036
8,2037,No,4,9,Yes,Yes,22.102043,0
7,2032,No,5,9,Yes,No,18.769869,0
36,2037,Yes,3,7,Yes,Yes,29.836851,2036
30,2035,No,6,11,Yes,Yes,20.983191,0
13,2037,No,3,9,No,Yes,26.425081,0
16,2039,No,3,9,Yes,Yes,33.101036,0
13,2040,No,3,9,No,Yes,29.531715,0
40,2034,No,4,8,No,Yes,28.634499,2036
22,2040,No,5,10,No,No,29.53253,0
36,2032,No,3,9,Yes,Yes,26.188343,2036
34,2035,No,3,9,No,Yes,26.669876,2038
15,2037,No,5,10,Yes,No,36.17672,0
4,2032,No,5,8,Yes,Yes,25.932297,0
14,2039,No,5,10,Yes,Yes,33.119858,0
38,2032,No,7,11,Yes,Yes,17.847862,2036
5,2035,No,4,10,Yes,Yes,25.598061,0
9,2035,No,3,11,Yes,Yes,25.340134,0
31,2035,No,3,10,No,No,26.565392,2038
30,2033,No,6,10,Yes,Yes,29.714899,0
37,2037,Yes,6,10,Yes,No,18.294945,2036
7,2036,No,5,11,Yes,Yes,31.817104,0
13,2036,No,3,9,Yes,Yes,30.944118,0
12,2039,No,5,19,No,Yes,31.95421,0
39,2040,Yes,6,10,No,Yes,28.161638,2036
5,2039,No,4,11,Yes,Yes,28.705873,0
2,2033,No,6,9,Yes,Yes,23.948471,2034
6,2039,No,6,9,No,Yes,31.145142,0
21,2037,No,4,9,No,Yes,24.540962,0
25,2040,No,5,8,No,Yes,23.683809,0
6,2034,No,6,18,No,Yes,25.633097,0
8,2036,No,4,9,Yes,No,25.142622,0
14,2032,No,5,12,No,No,28.400372,0
12,2040,No,5,14,No,Yes,22.019697,0
14,2033,No,5,9,No,Yes,20.406412,0
27,2040,No,6,9,No,Yes,27.817993,0
20,2033,No,4,9,Yes,Yes,32.758598,0
3,2033,No,5,9,No,Yes,21.246618,2034
15,2040,No,5,9,Yes,Yes,26.941038,0
39,2036,Yes,6,9,No,No,25.519325,2036
8,2032,No,4,9,Yes,Yes,22.369516,0
10,2039,No,6,7,Yes,Yes,22.101482,0
5,2035,No,4,19,No,Yes,16.599152,0
24,2039,No,5,11,Yes,Yes,24.252689,0
23,2038,No,2,9,No,Yes,30.358372,0
7,2036,No,5,10,Yes,No,29.393837,0
39,2038,Yes,6,9,No,Yes,13.446605,2036
15,2033,No,5,10,Yes,No,24.064255,0
23,2034,No,2,8,Yes,Yes,32.932835,0
25,2035,No,5,9,Yes,No,20.224089,0
40,2034,No,4,8,No,No,27.796227,2036
14,2039,No,5,7,No,No,22.831366,0
38,2032,No,7,7,Yes,No,27.058659,2036
13,2039,No,3,7,No,Yes,31.660713,0
37,2037,Yes,6,9,No,No,26.704302,2036
25,2034,No,5,9,No,Yes,21.832176,0
6,2035,No,6,9,No,Yes,20.248829,0
8,2039,No,4,9,Yes,Yes,21.00161,0
30,2040,No,6,9,No,Yes,29.857588,0
17,2032,No,6,10,Yes,No,17.581205,0
31,2037,No,3,9,Yes,No,24.567213,2038
2,2037,Yes,6,9,No,Yes,23.511839,2034
34,2037,No,3,11,No,No,26.697392,2038
7,2032,No,5,8,No,Yes,18.107718,0
3,2033,No,5,19,Yes,Yes,21.657473,2034
13,2038,No,3,9,No,Yes,31.437288,0
16,2040,No,3,10,Yes,Yes,30.543264,0
35,2036,No,3,9,Yes,Yes,20.835791,2038
18,2039,No,5,10,No,No,21.745932,0
26,2035,No,4,10,Yes,Yes,21.678478,0
1,2032,No,6,10,Yes,No,19.995258,2034
31,2033,No,3,10,Yes,No,27.626087,2038
16,2032,No,3,9,No,No,18.65642,0
16,2036,No,3,10,Yes,Yes,35.430027,0
37,2040,Yes,6,13,Yes,Yes,27.868881,2036
3,2033,No,5,9,Yes,No,26.734852,2034
38,2033,No,7,9,Yes,Yes,18.998579,2036
3,2037,Yes,5,9,No,Yes,16.828423,2034
30,2035,No,6,7,Yes,No,25.260544,0
18,2039,No,5,8,Yes,No,22.915813,0
36,2035,No,3,9,Yes,Yes,32.417633,2036
28,2033,No,3,9,No,Yes,19.118347,0
40,2040,Yes,4,9,No,Yes,27.679451,2036
11,2035,No,7,8,Yes,No,28.290058,0
26,2036,No,4,9,Yes,Yes,32.811981,0
34,2039,Yes,3,9,Yes,Yes,26.970491,2038
7,2036,No,5,9,No,Yes,29.36524,0
19,2040,No,5,9,No,No,30.151024,0
39,2033,No,6,9,Yes,Yes,24.057093,2036
27,2038,No,6,8,No,Yes,23.53249,0
15,2036,No,5,11,No,Yes,25.630051,0
10,2038,No,6,9,Yes,No,23.087658,0
2,2034,Yes,6,9,Yes,No,28.987829,2034
14,2033,No,5,8,No,Yes,17.977055,0
7,2040,No,5,12,Yes,No,26.199196,0
25,2038,No,5,11,Yes,Yes,27.878571,0
9,2037,No,3,10,Yes,Yes,20.990519,0
12,2032,No,5,9,No,Yes,21.238117,0
19,2033,No,5,9,Yes,Yes,22.733849,0
29,2040,No,3,7,No,Yes,31.663099,0
30,2033,No,6,9,No,Yes,32.166424,0
1,2035,Yes,6,10,Yes,No,30.528996,2034
6,2040,No,6,8,No,No,17.666733,0
12,2033,No,5,9,No,No,31.285116,0
10,2033,No,6,9,Yes,Yes,26.786171,0
11,2033,No,7,9,Yes,Yes,33.346313,0
1,2034,Yes,6,9,No,No,21.036919,2034
37,2032,No,6,9,Yes,Yes,28.26935,2036
14,2037,No,5,9,No,Yes,19.796808,0
38,2039,Yes,7,9,Yes,No,20.505835,2036
24,2032,No,5,7,Yes,No,29.725586,0
25,2034,No,5,9,Yes,No,23.320589,0
21,2034,No,4,8,No,Yes,23.942684,0
36,2035,No,3,8,Yes,Yes,25.304502,2036
1,2034,Yes,6,8,No,No,30.779284,2034
39,2035,No,6,11,Yes,Yes,30.11125,2036
20,2033,No,4,17,Yes,Yes,25.329271,0
40,2036,Yes,4,10,Yes,Yes,25.429731,2036
1,2033,No,6,9,Yes,Yes,28.307894,2034
9,2032,No,3,15,No,No,24.564466,0
1,2038,Yes,6,9,No,No,23.22596,2034
10,2033,No,6,9,Yes,Yes,27.001745,0
27,2037,No,6,8,No,Yes,27.285057,0
32,2039,Yes,3,18,No,No,29.791113,2038
17,2035,No,6,12,Yes,Yes,23.199402,0
5,2037,No,4,10,Yes,No,22.724171,0
30,2036,No,6,10,No,Yes,28.754873,0
22,2034,No,5,13,No,Yes,28.174278,0
16,2032,No,3,12,Yes,Yes,25.552582,0
34,2035,No,3,8,No,Yes,27.434959,2038
25,2038,No,5,12,No,No,23.839067,0
38,2035,No,7,10,No,Yes,20.311468,2036
21,2036,No,4,9,No,Yes,20.636,0
25,2033,No,5,13,Yes,Yes,27.86178,0
6,2033,No,6,15,Yes,Yes,20.615326,0
22,2040,No,5,8,No,Yes,23.76437,0
6,2033,No,6,10,No,Yes,24.012171,0
18,2032,No,5,10,Yes,Yes,27.681335,0
19,2034,No,5,9,Yes,Yes,17.725431,0
26,2038,No,4,8,Yes,No,21.432093,0
36,2038,Yes,3,9,Yes,No,17.787525,2036
6,2037,No,6,8,Yes,No,29.083313,0
38,2035,No,7,8,No,Yes,18.47776,2036
26,2036,No,4,9,Yes,Yes,30.676176,0
20,2034,No,4,8,Yes,No,23.265406,0
13,2034,No,3,9,No,No,23.92647,0
6,2040,No,6,9,Yes,No,38.092194,0
10,2032,No,6,16,No,Yes,17.892986,0
16,2039,No,3,7,No,Yes,20.629612,0
19,2040,No,5,8,Yes,No,18.092569,0
31,2032,No,3,6,Yes,Yes,30.989323,2038
34,2037,No,3,14,No,Yes,19.088232,2038
25,2035,No,5,9,Yes,No,23.242249,0
27,2034,No,6,13,No,Yes,31.329666,0
6,2039,No,6,9,No,Yes,22.519936,0
17,2034,No,6,7,No,Yes,34.708847,0
29,2039,No,3,9,No,Yes,28.784805,0
4,2033,No,5,8,No,Yes,28.777208,0
21,2037,No,4,9,Yes,Yes,24.625183,0
34,2040,Yes,3,12,No,No,29.921173,2038
22,2034,No,5,12,Yes,No,27.96343,0
24,2033,No,5,8,Yes,Yes,17.543686,0
8,2033,No,4,8,No,No,16.390781,0
40,2039,Yes,4,10,Yes,No,20.720657,2036
16,2032,No,3,0,No,Yes,27.356562,0
30,2034,No,6,9,Yes,Yes,31.816189,0
1,2037,Yes,6,12,Yes,Yes,16.343958,2034
23,2040,No,2,10,Yes,Yes,23.220289,0
6,2034,No,6,10,No,No,31.662069,0
34,2032,No,3,7,No,No,21.131617,2038
7,2038,No,5,17,Yes,No,35.47588,0
1,2035,Yes,6,9,No,Yes,18.01338,2034
38,2038,Yes,7,9,No,No,16.308603,2036
29,2035,No,3,9,Yes,Yes,18.853251,0
22,2033,No,5,9,No,No,18.414675,0
33,2039,Yes,3,9,Yes,Yes,28.770691,2038
29,2038,No,3,10,Yes,Yes,28.072449,0
11,2037,No,7,9,No,Yes,21.570532,0
26,2033,No,4,10,No,Yes,23.720415,0
18,2035,No,5,8,Yes,Yes,29.506729,0
29,2039,No,3,7,Yes,Yes,30.745295,0
27,2040,No,6,9,No,Yes,25.543606,0
9,2039,No,3,9,Yes,Yes,16.946419,0
38,2033,No,7,17,Yes,Yes,25.701199,2036
17,2036,No,6,12,Yes,No,34.546448,0
27,2039,No,6,11,Yes,No,28.429544,0
34,2036,No,3,7,Yes,Yes,25.945784,2038
37,2036,Yes,6,13,Yes,Yes,20.375854,2036
30,2032,No,6,8,Yes,Yes,21.256094,0
28,2038,No,3,9,No,No,20.97123,0
28,2034,No,3,9,Yes,Yes,34.842133,0
22,2034,No,5,15,No,Yes,18.099188,0
15,2037,No,5,9,Yes,Yes,31.8398,0
27,2040,No,6,10,Yes,No,21.502642,0
12,2039,No,5,11,No,Yes,21.474661,0
2,2036,Yes,6,10,Yes,Yes,18.883898,2034
20,2040,No,4,9,Yes,No,24.445593,0
25,2038,No,5,12,No,No,24.382574,0
3,2039,Yes,5,8,No,No,23.539848,2034
14,2040,No,5,9,No,Yes,26.646931,0
29,2039,No,3,9,Yes,Yes,26.240204,0
16,2039,No,3,13,Yes,Yes,21.489408,0
2,2037,Yes,6,10,Yes,No,26.263634,2034
25,2033,No,5,9,No,Yes,21.390196,0
38,2032,No,7,0,Yes,Yes,28.190445,2036
36,2034,No,3,14,Yes,Yes,29.138525,2036
5,2032,No,4,12,No,Yes,25.2549,0
36,2035,No,3,9,Yes,No,30.78303,2036
15,2040,No,5,7,No,Yes,23.146461,0
11,2035,No,7,9,No,No,19.815571,0
1,2039,Yes,6,11,No,Yes,31.164268,2034
11,2038,No,7,9,Yes,Yes,19.421726,0
25,2037,No,5,9,Yes,No,33.808247,0
26,2035,No,4,9,Yes,Yes,24.467892,0
15,2037,No,5,9,No,Yes,22.439184,0
20,2035,No,4,11,No,Yes,28.400143,0
5,2036,No,4,8,Yes,Yes,23.843178,0
11,2039,No,7,9,Yes,Yes,18.643608,0
36,2034,No,3,12,Yes,Yes,31.530087,2036
27,2034,No,6,8,Yes,No,28.214411,0
29,2039,No,3,9,Yes,Yes,28.202198,0
19,2032,No,5,9,Yes,No,31.357574,0
39,2040,Yes,6,8,No,No,22.104855,2036
22,2037,No,5,7,No,No,29.203367,0
27,2038,No,6,11,No,Yes,21.843594,0
12,2032,No,5,17,No,Yes,17.310648,0
12,2039,No,5,0,Yes,No,28.207098,0
15,2032,No,5,9,No,No,31.000202,0
6,2034,No,6,10,Yes,Yes,28.706087,0
1,2035,Yes,6,7,No,Yes,29.262121,2034
30,2034,No,6,12,No,No,16.622383,0
34,2032,No,3,12,No,Yes,30.10655,2038
20,2037,No,4,12,Yes,No,33.47607,0
36,2033,No,3,10,No,Yes,17.026875,2036
